name,state,address,phone,type,lat,lon,photo,opening_event,
Fridayforfuture Sävsjö,,"Sävsjö kommun Jönköpings län, Sverige",,office,57.4021,14.6667,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Ystad,,"Ystad Skåne län, Sverige",,office,55.433,13.8197,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Kramfors,,"Kramfors Västernorrlands län, Sverige",,office,62.9306,17.784,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Tanumshede,,"Tanumshede Västra Götalands län, Sverige",,office,58.7219,11.3324,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Munkedal,,"Munkedal Västra Götalands län, Sverige",,office,58.4666,11.6734,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Tomelilla,,"Tomelilla kommun Skåne län, Sverige",,office,55.5438,13.9541,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Tidaholm,,"Tidaholm Västra Götalands län, Sverige",,office,58.1804,13.9597,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Lysekil,,"Lysekil Västra Götalands län, Sverige",,office,58.2768,11.4434,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Hjo,,"Hjo Västra Götalands län, Sverige",,office,58.3013,14.2879,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Åsele,,"Åsele kommun Västerbottens län, Sverige",,office,64.1604,17.3558,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Lindesberg,,"Lindesberg Örebro län, Sverige",,office,59.5931,15.2265,,https://www.facebook.com/groups/929294497203110/,
Big School Walk-out for Climate Action - Australia,Australia,Australia,,office,-25.274398,133.775136,,https://www.facebook.com/groups/1933369976972843/,
Collectif Citoyen pour le Climat #IlEstEncoreTemps - Lorient,France,lorient,,office,47.7482524,-3.3702449,,https://www.facebook.com/groups/1958177647576434/,
Action Climat Sens,France,Sens,,office,48.20065,3.28268,,https://climatenvironnementsens.wordpress.com,
Citoyens pour le Climat Brest,France,Brest,,office,48.390394,-4.486076,,https://www.facebook.com/groups/446505255845901/,
Citoyen pour le climat Chablais,France,Thonon-les-Bains,,office,46.373565,6.477635,,https://www.facebook.com/groups/1065393603620334/,
Vencois-es pour le climat,France,Vence,,office,43.7223216,7.1117033,,https://www.facebook.com/Vencois.es.pour.le.climat/,
Collectif Urgence Climat Landes,France,DAX,,office,43.708608,-1.051945,,https://www.facebook.com/UrgenceClimatLandes/,
Citoyens pour le climat Guyane #citizensforclimate,Guyane,,,office,4.92242,-52.3134531,,https://www.facebook.com/Citoyens-pour-le-climat-Guyane-citizensforclimate-271471246862745/,
GNO Non Merci,Strasbourg,,,office,48.5734053,7.7521113,,https://gcononmerci.org/,
Zad du Moulin,Kolbsheim,,,office,48.561318,7.592415,,http://zaddumoulin.fr/,
